iter	Passed	Remaining
401	13231	85510
402	13238	85312
403	13265	85238
404	13279	85085
405	13311	85050
406	13321	84873
407	13337	84729
408	13392	84838
409	13424	84802
410	13481	84923
411	13540	85052
412	13547	84858
413	13574	84793
414	13604	84743
415	13654	84818
416	13669	84671
417	13727	84794
418	13788	84934
419	13804	84798
420	13818	84651
421	13872	84745
422	13896	84660
423	13949	84748
424	14002	84837
425	14054	84923
426	14106	85001
427	14120	84853
428	14123	84641
429	14174	84720
430	14188	84570
431	14212	84488
432	14244	84449
433	14272	84384
434	14306	84360
435	14322	84225
436	14327	84033
437	14376	84089
438	14439	84235
439	14495	84337
440	14547	84415
441	14628	84661
442	14680	84736
443	14799	85195
444	14892	85503
445	14968	85717
446	14979	85554
447	15046	85713
448	15113	85865
449	15173	85982
450	15230	86080
451	15377	86684
452	15445	86843
453	15460	86700
454	15485	86614
455	15546	86734
456	15601	86814
457	15659	86911
458	15666	86726
459	15725	86832
460	15783	86931
461	15810	86855
462	15879	87010
463	15915	86983
464	15945	86927
465	16014	87085
466	16047	87040
467	16058	86882
468	16117	86977
469	16181	87104
470	16241	87208
471	16308	87346
472	16371	87465
473	16429	87554
474	16497	87699
475	16556	87788
476	16624	87930
477	16648	87841
478	16674	87758
479	16728	87825
480	16797	87966
481	16864	88103
482	16935	88252
483	17003	88387
484	17069	88512
485	17139	88659
486	17201	88764
487	17263	88862
488	17275	88710
489	17314	88693
490	17376	88791
491	17433	88867
492	17484	88913
493	17552	89041
494	17604	89091
495	17653	89121
496	17703	89156
497	17765	89253
498	17818	89307
499	17830	89154
500	17888	89228
501	17950	89321
502	18003	89375
503	18060	89442
504	18116	89508
505	18178	89601
506	18236	89669
507	18291	89730
508	18353	89821
509	18412	89898
510	18464	89939
511	18516	89978
512	18573	90041
513	18623	90072
514	18675	90111
515	18732	90178
516	18786	90225
517	18844	90294
518	18905	90372
519	18957	90411
520	19007	90442
521	19058	90471
522	19109	90505
523	19171	90587
524	19232	90665
525	19292	90740
526	19351	90810
527	19409	90872
528	19468	90938
529	19521	90979
530	19575	91019
531	19634	91086
532	19683	91106
533	19745	91185
534	19794	91203
535	19861	91304
536	19923	91381
537	19986	91461
538	20048	91538
539	20105	91593
540	20165	91657
541	20216	91682
542	20272	91729
543	20330	91786
544	20387	91837
545	20448	91907
546	20500	91931
547	20562	92006
548	20625	92084
549	20688	92156
550	20749	92225
551	20810	92291
552	20872	92360
553	20933	92423
554	20992	92478
555	21049	92527
556	21107	92578
557	21161	92611
558	21223	92677
559	21278	92711
560	21341	92782
561	21403	92848
562	21465	92917
563	21524	92968
564	21593	93062
565	21673	93205
566	21799	93539
567	21931	93903
568	22035	94146
569	22115	94281
570	22237	94596
571	22397	95073
572	22528	95422
573	22648	95722
574	22745	95928
575	22843	96134
576	22942	96341
577	23032	96512
578	23125	96697
579	23192	96766
580	23270	96886
581	23369	97092
582	23462	97270
583	23540	97385
584	23619	97506
585	23706	97657
586	23786	97779
587	23873	97929
588	24001	98245
589	24095	98424
590	24257	98876
591	24331	98969
592	24393	99012
593	24448	99026
594	24512	99077
595	24573	99119
596	24635	99159
597	24697	99203
598	24752	99218
599	24810	99240
600	24868	99268
601	24935	99328
602	24994	99355
603	25058	99403
604	25127	99472
605	25187	99502
606	25238	99499
607	25297	99523
608	25351	99534
609	25408	99551
610	25465	99569
611	25537	99645
612	25606	99709
613	25666	99739
614	25736	99808
615	25805	99870
616	25865	99898
617	25935	99966
618	26004	100025
619	26059	100034
620	26133	100114
621	26191	100135
622	26243	100128
623	26302	100150
624	26360	100171
625	26408	100148
626	26465	100162
627	26525	100187
628	26583	100205
629	26641	100222
630	26698	100235
631	26759	100263
632	26818	100283
633	26862	100248
634	26913	100235
635	26974	100262
636	27035	100291
637	27095	100311
638	27149	100314
639	27208	100332
640	27258	100316
641	27311	100313
642	27369	100327
643	27428	100344
644	27489	100368
645	27547	100381
646	27607	100402
647	27673	100445
648	27729	100451
649	27787	100460
650	27836	100443
651	27886	100427
652	27936	100408
653	27998	100434
654	28038	100381
655	28093	100383
656	28154	100404
657	28207	100397
658	28262	100397
659	28321	100414
660	28375	100408
661	28433	100419
662	28491	100427
663	28552	100450
664	28612	100466
665	28665	100459
666	28723	100466
667	28790	100508
668	28860	100558
669	28925	100591
670	28980	100590
671	29038	100598
672	29091	100589
673	29151	100604
674	29210	100614
675	29283	100672
676	29351	100714
677	29415	100741
678	29479	100769
679	29542	100791
680	29590	100763
681	29639	100738
682	29696	100742
683	29750	100735
684	29807	100736
685	29857	100713
686	29915	100718
687	29971	100719
688	30022	100700
689	30074	100683
690	30129	100677
691	30179	100655
692	30240	100672
693	30294	100660
694	30347	100648
695	30395	100620
696	30456	100633
697	30533	100700
698	30619	100795
699	30729	100966
700	30799	101009
701	30874	101068
702	30945	101111
703	31016	101154
704	31091	101211
705	31171	101283
706	31248	101346
707	31318	101387
708	31396	101453
709	31489	101565
710	31579	101666
711	31648	101701
712	31715	101729
713	31772	101723
714	31826	101710
715	31883	101705
716	31942	101708
717	31999	101704
718	32060	101711
719	32117	101703
720	32170	101688
721	32228	101684
722	32280	101662
723	32327	101625
724	32380	101608
725	32438	101604
726	32499	101611
727	32556	101603
728	32609	101585
729	32665	101577
730	32725	101579
731	32774	101545
732	32837	101558
733	32892	101546
734	32944	101522
735	32999	101508
736	33057	101505
737	33117	101505
738	33189	101544
739	33251	101552
740	33306	101536
741	33363	101529
742	33415	101507
743	33470	101491
744	33526	101479
745	33584	101474
746	33640	101463
747	33692	101438
748	33749	101427
749	33808	101426
750	33854	101384
751	33911	101373
752	33971	101373
753	34028	101363
754	34077	101330
755	34140	101336
756	34199	101333
757	34257	101326
758	34310	101305
759	34365	101287
760	34422	101276
761	34483	101279
762	34542	101273
763	34604	101277
764	34663	101272
765	34726	101277
766	34785	101272
767	34868	101335
768	34971	101457
769	35054	101521
770	35131	101567
771	35196	101577
772	35263	101594
773	35335	101623
774	35418	101686
775	35491	101717
776	35545	101694
777	35608	101700
778	35674	101710
779	35743	101731
780	35811	101747
